house_id,neighborhood,price,square_feet,num_bedrooms,num_bathrooms,house_age,garage_spaces,lot_size_acres,has_pool,recently_renovated,energy_rating,location_score,school_rating,crime_rate,distance_downtown_miles,sale_date,days_on_market,buyer_id,buyer_budget,buyer_age_group,buyer_family_size,buyer_income_level,has_children,employment_type,buyer_preference,first_time_buyer
H03427,Suburban Park,473012,1927,3,3,2,1,0.32,FALSE,FALSE,E,8,9,3,10,1/7/22,1,B03427,509464,25-34,1,medium,FALSE,Full-time employed,Space & Bedrooms,FALSE
H03831,Oakwood,223072,1374,4,3,31,0,0.17,TRUE,FALSE,C,7,7,5,4,1/7/22,16,B03831,240316,45-54,2,low,FALSE,Self-employed,Modern & Updated,FALSE
H02686,Downtown,449081,2013,4,4,16,1,0.16,TRUE,FALSE,E,9,7,6,0,1/7/22,37,B02686,475212,45-54,2,medium,FALSE,Self-employed,Space & Bedrooms,FALSE
H05094,Riverside,361286,1720,2,2,29,2,0.17,FALSE,FALSE,C,8,8,4,3,1/8/22,11,B05094,390659,35-44,1,medium,FALSE,Full-time employed,Affordability,FALSE
H01166,University District,290761,1761,3,4,52,1,0.12,TRUE,FALSE,A,7,6,5,2,1/8/22,17,B01166,306420,45-54,1,medium,FALSE,Full-time employed,Location & Schools,FALSE
H07776,Downtown,718924,3210,6,5,21,2,0.12,TRUE,FALSE,D,9,7,6,0,1/8/22,28,B07776,786637,45-54,5,high,TRUE,Self-employed,Location & Schools,TRUE
H01771,Maple Heights,219745,1339,1,1,0,2,0.1,FALSE,FALSE,F,6,6,6,8,1/8/22,1,B01771,240418,45-54,1,low,FALSE,Dual income,Space & Bedrooms,FALSE
H00994,Suburban Park,367161,1966,3,3,0,1,0.37,FALSE,FALSE,F,8,9,3,10,1/8/22,41,B00994,388866,25-34,1,medium,FALSE,Full-time employed,Space & Bedrooms,FALSE
H04771,Downtown,345643,1502,3,3,21,2,0.15,FALSE,FALSE,E,9,7,6,0,1/8/22,43,B04771,367128,45-54,2,medium,FALSE,Full-time employed,Space & Bedrooms,FALSE
H00349,Oakwood,442093,2257,5,5,24,1,0.14,TRUE,FALSE,D,7,7,5,4,1/9/22,5,B00349,479343,55-64,3,medium,FALSE,Self-employed,Location & Schools,FALSE
H02509,Old Town,199721,1548,3,3,3,0,0.16,FALSE,FALSE,F,5,5,7,6,1/9/22,1,B02509,232183,35-44,2,low,FALSE,Full-time employed,Affordability,FALSE
H06657,Hillcrest,961844,3688,6,5,2,2,0.18,TRUE,FALSE,E,9,9,2,5,1/9/22,38,B06657,1056830,25-34,2,high,FALSE,Dual income,Space & Bedrooms,FALSE
H05830,Suburban Park,694032,2630,5,5,6,2,0.23,FALSE,FALSE,D,8,9,3,10,1/9/22,35,B05830,796983,35-44,3,high,TRUE,Dual income,Affordability,FALSE
H04113,Downtown,623907,2643,4,5,7,2,0.13,FALSE,FALSE,F,9,7,6,0,1/10/22,11,B04113,714671,55-64,1,high,FALSE,Retired,Location & Schools,FALSE
H07554,Maple Heights,336786,1934,4,4,17,1,0.11,TRUE,FALSE,D,6,6,6,8,1/10/22,16,B07554,360878,35-44,2,medium,FALSE,Full-time employed,Affordability,FALSE
H00717,Old Town,216997,2197,3,4,22,1,0.13,FALSE,FALSE,D,5,5,7,6,1/10/22,84,B00717,244014,25-34,1,low,FALSE,Dual income,Space & Bedrooms,FALSE
H02670,Oakwood,574565,3227,5,5,1,2,0.13,FALSE,FALSE,E,7,7,5,4,1/11/22,55,B02670,631573,45-54,4,high,TRUE,Self-employed,Location & Schools,FALSE
H07291,Lakeside,263168,1038,1,2,13,2,0.13,FALSE,FALSE,E,9,8,3,7,1/11/22,41,B07291,302496,45-54,1,medium,FALSE,Full-time employed,Affordability,FALSE
H04309,University District,351942,1892,3,3,34,1,0.17,TRUE,FALSE,C,7,6,5,2,1/11/22,49,B04309,392278,65+,1,medium,FALSE,Self-employed,Affordability,FALSE
H04207,Suburban Park,563868,2792,4,4,4,2,0.23,FALSE,FALSE,F,8,9,3,10,1/11/22,11,B04207,635787,35-44,2,high,FALSE,Self-employed,Location & Schools,FALSE
H02579,Oakwood,177322,800,1,1,26,1,0.16,FALSE,FALSE,D,7,7,5,4,1/11/22,3,B02579,189746,25-34,1,low,FALSE,Full-time employed,Location & Schools,FALSE
H06071,Green Valley,575798,2834,6,5,0,1,0.34,TRUE,FALSE,F,8,9,2,12,1/11/22,63,B06071,678428,55-64,4,high,FALSE,Full-time employed,Space & Bedrooms,FALSE
H02936,Riverside,239466,831,2,2,25,0,0.21,TRUE,FALSE,D,8,8,4,3,1/12/22,64,B02936,274955,35-44,1,low,FALSE,Full-time employed,Space & Bedrooms,FALSE
H05511,Riverside,475181,2089,4,4,5,1,0.24,FALSE,FALSE,E,8,8,4,3,1/12/22,31,B05511,526858,45-54,3,medium,TRUE,Full-time employed,Space & Bedrooms,FALSE
H04191,University District,187853,1190,2,3,60,2,0.13,TRUE,TRUE,B,7,6,5,2,1/12/22,66,B04191,198317,35-44,1,low,FALSE,Full-time employed,Affordability,FALSE
H00293,University District,120000,800,1,2,12,1,0.15,FALSE,FALSE,F,7,6,5,2,1/13/22,24,B00293,130000,35-44,1,low,FALSE,Self-employed,Location & Schools,FALSE
H07975,Suburban Park,625491,2896,4,4,4,1,0.33,FALSE,FALSE,D,8,9,3,10,1/13/22,54,B07975,713850,45-54,3,high,TRUE,Self-employed,Location & Schools,FALSE
H01788,Suburban Park,453453,1874,2,3,1,2,0.26,TRUE,FALSE,F,8,9,3,10,1/13/22,9,B01788,524720,55-64,1,medium,FALSE,Dual income,Affordability,TRUE
H05058,Hillcrest,768554,2938,5,5,2,2,0.12,TRUE,FALSE,E,9,9,2,5,1/13/22,27,B05058,812063,45-54,2,high,FALSE,Dual income,Low Maintenance,FALSE
H06270,Suburban Park,603395,2588,4,4,4,1,0.57,TRUE,FALSE,F,8,9,3,10,1/13/22,17,B06270,694274,45-54,3,high,TRUE,Dual income,Location & Schools,FALSE
H02614,Lakeside,764969,3082,5,5,6,2,0.15,FALSE,FALSE,E,9,8,3,7,1/14/22,54,B02614,807636,55-64,1,high,FALSE,Dual income,Affordability,FALSE
H03243,Suburban Park,784415,3623,5,5,9,3,0.21,FALSE,FALSE,E,8,9,3,10,1/14/22,15,B03243,849095,55-64,3,high,TRUE,Dual income,Location & Schools,FALSE
H04269,University District,140795,800,1,1,3,2,0.14,FALSE,FALSE,D,7,6,5,2,1/14/22,33,B04269,153574,45-54,1,low,FALSE,Full-time employed,Space & Bedrooms,FALSE
H01880,Suburban Park,600980,2616,5,5,6,1,0.23,TRUE,FALSE,F,8,9,3,10,1/14/22,3,B01880,669378,65+,2,high,FALSE,Retired,Location & Schools,FALSE
H00926,Downtown,654226,2588,4,4,5,1,0.18,TRUE,FALSE,F,9,7,6,0,1/14/22,6,B00926,705655,55-64,1,high,FALSE,Full-time employed,Location & Schools,FALSE
H00467,Hillcrest,1044228,4323,6,5,1,2,0.15,FALSE,FALSE,F,9,9,2,5,1/14/22,69,B00467,1216548,25-34,2,high,FALSE,Self-employed,Location & Schools,FALSE
H00075,Lakeside,692846,3004,5,5,6,2,0.14,FALSE,FALSE,F,9,8,3,7,1/14/22,30,B00075,781001,25-34,3,high,TRUE,Self-employed,Space & Bedrooms,FALSE
H05452,Hillcrest,566343,2372,5,5,34,1,0.1,FALSE,FALSE,B,9,9,2,5,1/15/22,16,B05452,665574,25-34,3,high,TRUE,Full-time employed,Location & Schools,FALSE
H01490,Maple Heights,195140,1220,1,1,18,1,0.12,TRUE,FALSE,D,6,6,6,8,1/16/22,5,B01490,229143,25-34,1,low,FALSE,Full-time employed,Investment,FALSE
H05731,University District,323841,1954,2,3,1,1,0.1,FALSE,FALSE,F,7,6,5,2,1/16/22,44,B05731,377367,45-54,1,medium,FALSE,Self-employed,Modern & Updated,FALSE
H07328,Lakeside,249947,815,2,1,15,1,0.19,TRUE,FALSE,E,9,8,3,7,1/16/22,23,B07328,280201,35-44,1,medium,FALSE,Dual income,Affordability,FALSE
H03969,Suburban Park,529037,2013,3,3,6,1,0.19,TRUE,FALSE,F,8,9,3,10,1/16/22,17,B03969,595843,35-44,3,medium,TRUE,Dual income,Space & Bedrooms,FALSE
H06327,Green Valley,506922,2545,5,5,1,2,0.39,FALSE,FALSE,F,8,9,2,12,1/16/22,51,B06327,587169,65+,1,medium,FALSE,Retired,Location & Schools,FALSE
H06059,Old Town,221415,2339,3,3,31,1,0.12,FALSE,FALSE,D,5,5,7,6,1/16/22,2,B06059,241629,25-34,1,low,FALSE,Full-time employed,Affordability,FALSE
H06720,Hillcrest,894115,3673,5,5,6,2,0.17,FALSE,FALSE,F,9,9,2,5,1/16/22,14,B06720,943122,25-34,2,high,FALSE,Self-employed,Space & Bedrooms,FALSE
H06964,Suburban Park,716150,3367,6,5,1,2,0.41,TRUE,FALSE,F,8,9,3,10,1/16/22,85,B06964,841283,55-64,2,high,FALSE,Self-employed,Investment,FALSE
H07268,Oakwood,180265,800,1,1,5,1,0.21,FALSE,FALSE,F,7,7,5,4,1/17/22,28,B07268,193264,45-54,1,low,FALSE,Dual income,Space & Bedrooms,FALSE
H03650,Green Valley,536514,2552,5,5,9,2,0.54,TRUE,FALSE,D,8,9,2,12,1/17/22,15,B03650,611602,35-44,3,medium,TRUE,Full-time employed,Space & Bedrooms,TRUE
H03211,Riverside,670295,3234,6,5,6,3,0.25,FALSE,FALSE,E,8,8,4,3,1/17/22,102,B03211,786521,45-54,4,high,TRUE,Full-time employed,Location & Schools,FALSE
H05135,Green Valley,499367,2176,5,5,1,2,0.26,FALSE,FALSE,E,8,9,2,12,1/18/22,12,B05135,573971,25-34,3,medium,TRUE,Full-time employed,Location & Schools,FALSE
H03285,Maple Heights,294302,2037,3,4,6,1,0.17,FALSE,FALSE,F,6,6,6,8,1/18/22,72,B03285,318767,55-64,2,medium,FALSE,Self-employed,Affordability,FALSE
H06841,Green Valley,485028,2243,3,3,17,1,0.28,TRUE,FALSE,D,8,9,2,12,1/18/22,180,B06841,560271,45-54,2,medium,FALSE,Dual income,Space & Bedrooms,FALSE
H03932,Hillcrest,376447,1513,3,3,15,1,0.12,FALSE,FALSE,F,9,9,2,5,1/18/22,34,B03932,435293,25-34,1,medium,FALSE,Full-time employed,Investment,TRUE
H04655,Oakwood,169375,800,1,1,6,0,0.1,FALSE,FALSE,F,7,7,5,4,1/18/22,6,B04655,182283,45-54,1,low,FALSE,Dual income,Location & Schools,FALSE
H02853,Hillcrest,736060,2339,4,4,7,1,0.13,TRUE,FALSE,E,9,9,2,5,1/18/22,11,B02853,838200,45-54,3,high,TRUE,Dual income,Modern & Updated,FALSE
H04877,Suburban Park,485059,2018,4,4,14,1,0.17,TRUE,FALSE,D,8,9,3,10,1/19/22,51,B04877,539575,25-34,2,medium,FALSE,Full-time employed,Affordability,TRUE
H03878,Old Town,285431,2100,4,4,26,2,0.07,FALSE,FALSE,D,5,5,7,6,1/19/22,93,B03878,312745,35-44,1,medium,FALSE,Self-employed,Low Maintenance,FALSE
H06650,Old Town,120000,800,1,1,13,1,0.17,TRUE,FALSE,D,5,5,7,6,1/19/22,18,B06650,136748,45-54,1,low,FALSE,Self-employed,Location & Schools,FALSE
H04546,University District,474337,3080,5,5,11,2,0.21,FALSE,FALSE,F,7,6,5,2,1/19/22,58,B04546,549306,25-34,2,medium,FALSE,Full-time employed,Location & Schools,FALSE
H04078,Hillcrest,644250,2490,5,5,4,1,0.16,FALSE,FALSE,E,9,9,2,5,1/19/22,59,B04078,695291,25-34,1,high,FALSE,Self-employed,Location & Schools,FALSE
H03179,University District,398882,2516,5,5,0,1,0.15,FALSE,FALSE,F,7,6,5,2,1/20/22,14,B03179,470607,65+,1,medium,FALSE,Retired,Low Maintenance,FALSE
H02178,Suburban Park,243872,1124,2,2,14,2,0.21,FALSE,FALSE,F,8,9,3,10,1/20/22,106,B02178,267716,25-34,1,low,FALSE,Dual income,Affordability,FALSE
H07664,Suburban Park,469313,2189,4,4,6,2,0.3,FALSE,FALSE,E,8,9,3,10,1/20/22,47,B07664,528982,65+,2,medium,FALSE,Retired,Low Maintenance,FALSE
H00864,Maple Heights,264883,1681,2,2,11,1,0.15,TRUE,FALSE,F,6,6,6,8,1/20/22,1,B00864,308600,25-34,1,medium,FALSE,Full-time employed,Affordability,FALSE
H07412,Maple Heights,233924,1360,2,2,2,2,0.16,FALSE,FALSE,F,6,6,6,8,1/20/22,19,B07412,270506,35-44,1,low,FALSE,Self-employed,Space & Bedrooms,FALSE
H00225,Hillcrest,627153,2293,4,4,11,1,0.23,TRUE,FALSE,E,9,9,2,5,1/20/22,1,B00225,681473,55-64,3,high,TRUE,Full-time employed,Location & Schools,FALSE
H01892,Oakwood,389847,2125,3,3,20,1,0.13,FALSE,FALSE,E,7,7,5,4,1/20/22,3,B01892,458746,45-54,1,medium,FALSE,Dual income,Affordability,FALSE
H04062,Hillcrest,370922,1372,4,4,4,0,0.13,TRUE,FALSE,F,9,9,2,5,1/20/22,62,B04062,403621,45-54,1,medium,FALSE,Full-time employed,Modern & Updated,FALSE
H07353,Maple Heights,411791,2081,2,3,8,2,0.16,FALSE,FALSE,E,6,6,6,8,1/21/22,45,B07353,440666,25-34,1,medium,FALSE,Full-time employed,Modern & Updated,FALSE
H00532,Green Valley,515173,2445,4,4,29,2,0.2,TRUE,FALSE,D,8,9,2,12,1/21/22,103,B00532,562012,35-44,2,medium,FALSE,Full-time employed,Location & Schools,FALSE
H02790,Green Valley,415103,2031,4,4,6,2,0.26,FALSE,FALSE,F,8,9,2,12,1/21/22,25,B02790,459903,55-64,1,medium,FALSE,Full-time employed,Modern & Updated,FALSE
H02100,Oakwood,555318,2977,5,5,10,2,0.23,TRUE,FALSE,E,7,7,5,4,1/22/22,31,B02100,611961,25-34,2,medium,FALSE,Full-time employed,Affordability,FALSE
H01888,Hillcrest,820942,3605,6,5,2,2,0.19,FALSE,FALSE,D,9,9,2,5,1/22/22,22,B01888,863872,35-44,4,high,TRUE,Self-employed,Space & Bedrooms,FALSE
H07849,Riverside,424587,2181,2,2,14,2,0.09,FALSE,FALSE,E,8,8,4,3,1/22/22,18,B07849,477449,25-34,1,medium,FALSE,Full-time employed,Affordability,FALSE
H02250,Riverside,326916,1673,2,2,2,1,0.09,FALSE,FALSE,F,8,8,4,3,1/22/22,7,B02250,377278,25-34,1,medium,FALSE,Full-time employed,Location & Schools,FALSE
H03517,Riverside,288357,1358,3,2,2,1,0.28,FALSE,FALSE,D,8,8,4,3,1/23/22,26,B03517,337826,35-44,1,medium,FALSE,Dual income,Affordability,FALSE
H05991,Downtown,811508,3788,6,5,3,3,0.16,FALSE,FALSE,F,9,7,6,0,1/23/22,7,B05991,900221,45-54,5,high,TRUE,Full-time employed,Space & Bedrooms,FALSE
H05984,Downtown,710089,3258,5,5,27,2,0.08,TRUE,TRUE,F,9,7,6,0,1/23/22,52,B05984,750322,65+,1,high,FALSE,Retired,Modern & Updated,FALSE
H01955,Green Valley,708925,3363,5,5,7,3,0.38,TRUE,FALSE,F,8,9,2,12,1/23/22,56,B01955,755377,35-44,5,high,FALSE,Full-time employed,Affordability,FALSE
H01946,Suburban Park,423031,1984,3,3,12,2,0.23,FALSE,FALSE,F,8,9,3,10,1/23/22,15,B01946,455018,45-54,3,medium,FALSE,Self-employed,Affordability,FALSE
H01614,Oakwood,437963,2055,4,4,13,2,0.15,FALSE,TRUE,E,7,7,5,4,1/23/22,7,B01614,515523,35-44,2,medium,FALSE,Dual income,Low Maintenance,FALSE
H06036,Hillcrest,790410,3223,6,5,19,2,0.17,FALSE,FALSE,E,9,9,2,5,1/23/22,35,B06036,921020,45-54,3,high,TRUE,Retired,Modern & Updated,TRUE
H05891,Lakeside,726610,2906,5,5,0,1,0.22,FALSE,FALSE,F,9,8,3,7,1/24/22,17,B05891,768211,45-54,4,high,TRUE,Dual income,Location & Schools,FALSE
H00311,Maple Heights,120000,926,2,2,2,1,0.2,FALSE,FALSE,F,6,6,6,8,1/24/22,22,B00311,130000,25-34,1,low,FALSE,Self-employed,Location & Schools,FALSE
H07342,Oakwood,187244,1018,3,3,8,1,0.11,TRUE,FALSE,F,7,7,5,4,1/24/22,21,B07342,201535,35-44,1,low,FALSE,Dual income,Location & Schools,FALSE
H06292,Oakwood,727277,4409,6,5,25,2,0.18,FALSE,FALSE,E,7,7,5,4,1/24/22,37,B06292,848824,35-44,5,high,TRUE,Full-time employed,Modern & Updated,FALSE
H04876,Suburban Park,639243,3192,6,5,17,2,0.17,FALSE,FALSE,D,8,9,3,10,1/25/22,67,B04876,750549,45-54,5,high,TRUE,Full-time employed,Location & Schools,TRUE
H05626,Old Town,194419,1637,2,2,12,1,0.21,TRUE,FALSE,E,5,5,7,6,1/25/22,25,B05626,208879,55-64,1,low,FALSE,Retired,Affordability,FALSE
H05279,Green Valley,478602,2228,3,4,32,1,0.32,TRUE,FALSE,B,8,9,2,12,1/25/22,12,B05279,518564,45-54,2,medium,FALSE,Self-employed,Investment,FALSE
H03013,Oakwood,388988,1950,4,4,2,1,0.13,TRUE,FALSE,E,7,7,5,4,1/25/22,8,B03013,410121,45-54,2,medium,FALSE,Full-time employed,Investment,FALSE
H02926,Green Valley,324909,1778,3,3,1,0,0.29,FALSE,FALSE,F,8,9,2,12,1/26/22,36,B02926,372748,55-64,1,medium,FALSE,Full-time employed,Space & Bedrooms,FALSE
H05221,Hillcrest,332750,1392,2,2,1,0,0.14,FALSE,FALSE,F,9,9,2,5,1/26/22,68,B05221,358239,55-64,1,medium,FALSE,Retired,Space & Bedrooms,FALSE
H07115,Suburban Park,239266,800,1,1,0,1,0.38,FALSE,FALSE,F,8,9,3,10,1/26/22,64,B07115,274311,55-64,1,low,FALSE,Full-time employed,Affordability,FALSE
H00476,Green Valley,477851,2640,4,4,22,1,0.63,FALSE,FALSE,E,8,9,2,12,1/26/22,3,B00476,563274,25-34,1,medium,FALSE,Full-time employed,Modern & Updated,TRUE
H04737,Suburban Park,560046,2495,4,4,5,2,0.24,FALSE,FALSE,F,8,9,3,10,1/26/22,37,B04737,589736,45-54,2,medium,FALSE,Full-time employed,Affordability,FALSE
H06482,Maple Heights,192149,1297,3,3,48,2,0.08,TRUE,FALSE,A,6,6,6,8,1/26/22,102,B06482,225875,35-44,2,low,FALSE,Full-time employed,Space & Bedrooms,FALSE
H05127,Suburban Park,545989,2272,3,3,1,2,0.25,FALSE,FALSE,F,8,9,3,10,1/26/22,1,B05127,592878,45-54,2,medium,FALSE,Full-time employed,Space & Bedrooms,FALSE
H03257,Lakeside,465839,2053,4,4,8,2,0.13,FALSE,FALSE,E,9,8,3,7,1/26/22,19,B03257,531235,35-44,4,medium,FALSE,Full-time employed,Affordability,FALSE
H06653,Oakwood,466030,2866,5,5,40,1,0.16,FALSE,FALSE,B,7,7,5,4,1/26/22,70,B06653,501217,25-34,2,medium,FALSE,Full-time employed,Space & Bedrooms,FALSE
H00548,Lakeside,412130,1626,3,3,33,0,0.17,FALSE,TRUE,C,9,8,3,7,1/27/22,9,B00548,473002,45-54,2,medium,FALSE,Dual income,Location & Schools,TRUE
H02771,Downtown,211653,1010,2,2,17,0,0.11,FALSE,FALSE,D,9,7,6,0,1/27/22,112,B02771,228950,35-44,2,low,FALSE,Self-employed,Affordability,FALSE
H04524,Suburban Park,443197,2094,3,3,7,1,0.31,TRUE,FALSE,E,8,9,3,10,1/27/22,120,B04524,521854,55-64,2,medium,FALSE,Retired,Space & Bedrooms,TRUE
H03963,Downtown,834168,3418,5,5,54,3,0.19,TRUE,FALSE,A,9,7,6,0,1/27/22,6,B03963,912411,35-44,3,high,FALSE,Full-time employed,Low Maintenance,FALSE
H04769,Lakeside,546263,1928,3,3,3,2,0.12,TRUE,FALSE,E,9,8,3,7,1/27/22,38,B04769,580999,35-44,2,medium,FALSE,Full-time employed,Modern & Updated,FALSE
H04181,Oakwood,126767,992,2,2,34,2,0.13,FALSE,FALSE,C,7,7,5,4,1/27/22,13,B04181,144906,25-34,1,low,FALSE,Full-time employed,Affordability,TRUE
H05005,Old Town,231685,1326,2,2,21,2,0.14,TRUE,FALSE,C,5,5,7,6,1/27/22,35,B05005,253683,45-54,1,low,FALSE,Full-time employed,Affordability,FALSE
H02471,Hillcrest,411994,1836,2,2,6,2,0.17,FALSE,FALSE,F,9,9,2,5,1/27/22,2,B02471,445381,45-54,2,medium,FALSE,Dual income,Location & Schools,FALSE
H01251,University District,208933,843,1,1,19,1,0.1,TRUE,FALSE,E,7,6,5,2,1/28/22,24,B01251,232233,35-44,1,low,FALSE,Full-time employed,Modern & Updated,FALSE
H02934,Suburban Park,350659,1156,2,2,12,1,0.41,TRUE,FALSE,D,8,9,3,10,1/28/22,16,B02934,386752,35-44,2,medium,FALSE,Full-time employed,Low Maintenance,FALSE
H05111,Green Valley,506682,2711,4,4,6,1,0.23,FALSE,FALSE,F,8,9,2,12,1/28/22,23,B05111,574570,45-54,3,medium,FALSE,Self-employed,Affordability,FALSE
H02293,Hillcrest,645245,2542,4,4,11,1,0.11,FALSE,FALSE,E,9,9,2,5,1/28/22,1,B02293,711537,35-44,2,high,FALSE,Full-time employed,Location & Schools,TRUE
H00949,Old Town,164434,1657,3,3,10,1,0.15,FALSE,FALSE,D,5,5,7,6,1/28/22,13,B00949,181986,25-34,1,low,FALSE,Full-time employed,Modern & Updated,FALSE
H00812,Old Town,120000,929,1,1,18,1,0.15,FALSE,FALSE,E,5,5,7,6,1/28/22,19,B00812,134780,65+,1,low,FALSE,Retired,Low Maintenance,FALSE
